Date 年 月 日 台指 台指MA 電子指 電子指MA 金融指 金融指MA
2003/6/9 2003 6 9 4826.939941 4735.350000 207.050003 201.532001 701.799988 698.936011
2003/6/10 2003 6 10 4832.200195 4763.202051 208.110001 203.396002 702.619995 701.018005
2003/6/11 2003 6 11 4804.649902 4788.516016 205.539993 204.810001 710.280029 703.308008
2003/6/12 2003 6 12 4878.430176 4816.534082 208.229996 206.239999 712.000000 706.708008
2003/6/13 2003 6 13 4881.899902 4844.824023 208.539993 207.493997 712.419983 707.823999
2003/6/16 2003 6 16 4892.359863 4857.908008 207.660004 207.615997 731.409973 713.745996
2003/6/17 2003 6 17 4973.189941 4886.105957 211.589996 208.311996 724.260010 718.073999
2003/6/18 2003 6 18 4999.069824 4924.989941 213.970001 209.997998 725.000000 721.017993
2003/6/19 2003 6 19 5048.910156 4959.085938 218.020004 211.956000 734.140015 725.445996
2003/6/20 2003 6 20 5002.580078 4983.221973 215.610001 213.370001 725.359985 728.033997
2003/6/23 2003 6 23 4921.720215 4989.094043 211.119995 214.062000 715.349976 724.821997
2003/6/24 2003 6 24 4909.310059 4976.318066 210.949997 213.934000 719.080017 723.785999
2003/6/25 2003 6 25 4933.790039 4963.262109 211.729996 213.485999 714.440002 721.673999
2003/6/26 2003 6 26 4894.009766 4932.282031 210.190002 211.919998 708.900024 716.626001
2003/6/27 2003 6 27 4877.899902 4907.345996 209.550003 210.707999 707.229980 713.000000
2003/6/30 2003 6 30 4872.149902 4897.431934 208.649994 210.213998 724.809998 714.892004
2003/7/1 2003 7 1 5017.779785 4919.125879 216.259995 211.275998 733.650024 717.806006
2003/7/2 2003 7 2 5095.240234 4951.415918 221.220001 213.173999 744.309998 723.780005
2003/7/3 2003 7 3 5095.310059 4991.675977 221.100006 215.356000 737.869995 729.573999
2003/7/4 2003 7 4 5151.850098 5046.466016 226.029999 218.651999 769.070007 741.942004
2003/7/7 2003 7 7 5322.259766 5136.487988 235.270004 223.976001 760.780029 749.136011
2003/7/8 2003 7 8 5367.970215 5206.526074 239.059998 228.536002 765.450012 755.496008
2003/7/9 2003 7 9 5358.910156 5259.260059 237.039993 231.700000 758.630005 758.360010
2003/7/10 2003 7 10 5282.379883 5296.674023 231.350006 233.750000 725.280029 755.842017
2003/7/11 2003 7 11 5239.959961 5314.295996 233.350006 235.214001 739.869995 750.002014
2003/7/14 2003 7 14 5349.939941 5319.832031 239.080002 235.976001 734.719971 744.790002
2003/7/15 2003 7 15 5335.859863 5313.409961 237.520004 235.668002 734.919983 738.683997
2003/7/16 2003 7 16 5413.870117 5324.401953 241.020004 236.464005 719.729980 730.903992
2003/7/17 2003 7 17 5299.509766 5327.827930 234.169998 237.028003 720.039978 729.855981
2003/7/18 2003 7 18 5287.379883 5337.311914 234.050003 237.168002 709.500000 723.781982
2003/7/21 2003 7 21 5219.299805 5311.183887 229.820007 235.316003 709.760010 718.789990
2003/7/22 2003 7 22 5261.009766 5296.213867 233.020004 234.416003 706.369995 713.079993
2003/7/23 2003 7 23 5287.890137 5271.017871 235.139999 233.240002 716.489990 712.431995
2003/7/24 2003 7 24 5402.750000 5291.665918 242.529999 234.912003 714.900024 711.404004
2003/7/25 2003 7 25 5394.750000 5313.139941 242.279999 236.558002 718.479980 713.200000
2003/7/28 2003 7 28 5451.799805 5359.639941 243.130005 239.220001 699.150024 711.078003
2003/7/29 2003 7 29 5342.459961 5375.929980 239.199997 240.456000 697.130005 709.230005
2003/7/30 2003 7 30 5307.180176 5379.787988 236.529999 240.734000 691.739990 704.280005
2003/7/31 2003 7 31 5318.339844 5362.905957 237.720001 239.772000 692.140015 699.728003
2003/8/1 2003 8 1 5390.509766 5362.057910 242.860001 239.888000 691.549988 694.342004
